"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"beta[1]" -0.125947646572101 0.00264671861853283 0.0734027458850016 -0.268534120701529 -0.173808878280034 -0.123808305987247 -0.0754133813617421 0.010229571731292 769.146499960743 1.00300418361694
"beta[2]" -0.0120213116968145 0.0027041282320749 0.0729983640042691 -0.148096965654431 -0.0595701986044267 -0.0126819263332348 0.032285194109693 0.142724504701685 728.738458154131 0.998788968946837
"beta[3]" 0.0291548173785571 0.00269658212662141 0.0671818962745427 -0.105324327650457 -0.0153771669742284 0.0295301997397284 0.0717374285472055 0.165415785065839 620.693522121176 0.999088512908917
"beta[4]" 0.152300712365238 0.00209493174720155 0.059253617782768 0.0457211956070736 0.113248814803533 0.150915439339918 0.190903445533688 0.272858085133253 800 0.998829852300076
"beta[5]" -0.152916921455774 0.00895589984117644 0.237641866589305 -0.639553209858307 -0.306325774391863 -0.158554839426301 -0.0144045662178145 0.333571631822786 704.088829043844 1.00030836742824
"beta[6]" 0.644825210466668 0.00483950897876882 0.136881984660025 0.371474103211226 0.55236984272624 0.639762817482677 0.733198082160676 0.919129393689257 800 0.999314106818204
"beta[7]" 0.764736348938319 0.005915060978221 0.16730318915328 0.434172775776547 0.653286176041303 0.760146891856994 0.872246416880154 1.0981177007459 800 0.999689891838713
"beta[8]" 1.19455452391641 0.00820425016690294 0.232051237102717 0.758418111392901 1.02467100051482 1.20184460373099 1.35806327505493 1.64034782592887 800 0.99882893618466
"beta[9]" 0.194039391487881 0.00438858618571226 0.12412796206955 -0.0589230427381543 0.111856636462581 0.196613118209475 0.275890201179053 0.437930470918231 800 0.999303252170864
"beta[10]" -0.0784660383299473 0.00889362814817632 0.188045855063553 -0.432437176984276 -0.199721948712525 -0.080039332381442 0.0484585138612506 0.283466564775936 447.063893176177 0.999171451405735
"beta[11]" -0.00796367304246924 0.00828315651043388 0.234283045526292 -0.486748056956468 -0.149868932152449 -0.011440362821555 0.144599011350896 0.460465315042498 800 1.00041044845453
"beta[12]" 0.144914487016999 0.0128720962577828 0.30396577011253 -0.414493848831613 -0.0690031435461237 0.141798171784664 0.348213455146033 0.737236392576036 557.635999028589 0.999568489865881
"threshold[1]" -3.54817722323188 0.014895424777868 0.337935447033438 -4.18040843700303 -3.76670915279135 -3.55686275195628 -3.33293201177218 -2.92265256673983 514.708940308879 1.0019545852689
"threshold[2]" -1.57420178673374 0.0114836327722443 0.269849996041143 -2.10079062024378 -1.75676849904521 -1.56986178884431 -1.3891717744988 -1.06617368870926 552.187078932961 1.00011315289129
"threshold[3]" -0.866552799219973 0.0114266042832695 0.2678145552977 -1.39517223693813 -1.05128745602722 -0.868933287023381 -0.675494228881603 -0.356912798583049 549.330835699502 0.999379339592088
"threshold[4]" 1.05731224940737 0.0114799895885931 0.267785422945191 0.527030650048066 0.881793782690965 1.05956882751315 1.24566191772811 1.56225724500707 544.115222431912 0.9996760737649
